date,province,country,lat,long,type,cases,cumu_cases
2020-01-30,NA,China,30.0572,107.874,confirmed,35,1766
2020-01-31,NA,China,30.0572,107.874,confirmed,29,1795
2020-02-01,NA,China,30.0572,107.874,confirmed,36,1831
2020-02-02,NA,China,30.0572,107.874,confirmed,53,1884
2020-02-03,NA,China,30.0572,107.874,confirmed,37,1921
2020-02-04,NA,China,30.0572,107.874,confirmed,29,1950
2020-02-05,NA,China,30.0572,107.874,confirmed,23,1973
2020-02-06,NA,China,30.0572,107.874,confirmed,22,1995
2020-02-07,NA,China,30.0572,107.874,confirmed,15,2010
2020-02-08,NA,China,30.0572,107.874,confirmed,2,2012
2020-02-09,NA,China,30.0572,107.874,confirmed,40,2052
2020-02-10,NA,China,30.0572,107.874,confirmed,18,2070
2020-02-11,NA,China,30.0572,107.874,confirmed,19,2089
2020-02-12,NA,China,30.0572,107.874,confirmed,13,2102
2020-02-13,NA,China,30.0572,107.874,confirmed,11,2113
2020-02-14,NA,China,30.0572,107.874,confirmed,8,2121
2020-02-15,NA,China,30.0572,107.874,confirmed,7,2128
2020-02-16,NA,China,30.0572,107.874,confirmed,7,2135
2020-02-17,NA,China,30.0572,107.874,confirmed,2,2137
2020-02-18,NA,China,30.0572,107.874,confirmed,2,2139
2020-02-19,NA,China,30.0572,107.874,confirmed,5,2144
2020-02-20,NA,China,30.0572,107.874,confirmed,7,2151
2020-02-21,NA,China,30.0572,107.874,confirmed,5,2156
2020-02-22,NA,China,30.0572,107.874,confirmed,1,2157
2020-02-23,NA,China,30.0572,107.874,confirmed,2,2159
2020-02-24,NA,China,30.0572,107.874,confirmed,1,2160
2020-02-25,NA,China,30.0572,107.874,confirmed,0,2160
2020-02-26,NA,China,30.0572,107.874,confirmed,0,2160
2020-02-27,NA,China,30.0572,107.874,confirmed,0,2160
2020-02-28,NA,China,30.0572,107.874,confirmed,0,2160
2020-02-29,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-01,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-02,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-03,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-04,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-05,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-06,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-07,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-08,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-09,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-10,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-11,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-12,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-13,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-14,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-15,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-16,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-17,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-18,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-19,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-20,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-21,NA,China,30.0572,107.874,confirmed,0,2160
2020-03-22,NA,China,30.0572,107.874,confirmed,1,2161
2020-03-23,NA,China,30.0572,107.874,confirmed,1,2162
2020-03-24,NA,China,30.0572,107.874,confirmed,0,2162
2020-03-25,NA,China,30.0572,107.874,confirmed,0,2162
2020-03-26,NA,China,30.0572,107.874,confirmed,0,2162
2020-03-27,NA,China,30.0572,107.874,confirmed,0,2162
2020-03-28,NA,China,30.0572,107.874,confirmed,0,2162
2020-03-29,NA,China,30.0572,107.874,confirmed,1,2163
2020-03-30,NA,China,30.0572,107.874,confirmed,0,2163
2020-03-31,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-01,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-02,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-03,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-04,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-05,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-06,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-07,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-08,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-09,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-10,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-11,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-12,NA,China,30.0572,107.874,confirmed,0,2163
2020-04-13,NA,China,30.0572,107.874,confirmed,0,2163
